name,year,genre,adult,budget,c_box_office,c_profit,c_performance
Taxi Driver,1976,Action,yes,1300000.0,28570902.0,21.977616923076923,great
L.A. Confidential,1997,Mystery,yes,35000000.0,126216940.0,3.6061982857142856,expected
Die Hard,1988,Mystery,yes,28000000.0,141603197.0,5.057257035714286,great
Snatch,2000,Comedy,yes,6000000.0,83557872.0,13.926312,great
Indiana Jones and the Last Crusade,1989,Action,no,48000000.0,474171806.0,9.878579291666666,great
Bicycle Thieves,1948,Drama,yes,133000.0,436655.0,3.2831203007518797,expected
1917,2019,History,yes,95000000.0,384479940.0,4.047157263157895,expected
Downfall,2004,History,yes,13500000.0,92181574.0,6.828264740740741,great
For a Few Dollars More,1965,Action,yes,600000.0,15000000.0,25.0,great
Batman Begins,2005,Action,no,150000000.0,373672993.0,2.4911532866666666,expected
The Kid,1921,Family,yes,250000.0,41960.0,0.16784,bad
Some Like It Hot,1959,Family,yes,2883848.0,195088.0,0.06764850297241741,bad
The Father,2020,Mystery,no,6000000.0,24427162.0,4.071193666666667,expected
All About Eve,1950,Drama,yes,1400000.0,151052.0,0.10789428571428572,bad
The Wolf of Wall Street,2013,History,yes,100000000.0,406878233.0,4.06878233,expected
Green Book,2018,History,no,23000000.0,321752656.0,13.989245913043478,great
Judgment at Nuremberg,1961,History,yes,3000000.0,12180.0,0.00406,bad
Casino,1995,Action,yes,52000000.0,116112375.0,2.2329302884615383,expected
Ran,1985,History,yes,11500000.0,4164283.0,0.3621115652173913,bad
Pan's Labyrinth,2006,Fantasy,yes,19000000.0,83862032.0,4.413791157894737,expected
The Truman Show,1998,Comedy,no,60000000.0,264118201.0,4.401970016666667,expected
There Will Be Blood,2007,Drama,yes,25000000.0,76182388.0,3.04729552,expected
Unforgiven,1992,Action,yes,14400000.0,159167799.0,11.053319375,great
The Sixth Sense,1999,Mystery,no,40000000.0,672806432.0,16.8201608,great
Shutter Island,2010,Mystery,yes,80000000.0,294805697.0,3.6850712125,expected
A Beautiful Mind,2001,History,no,58000000.0,316791257.0,5.461918224137931,great
Jurassic Park,1993,Fantasy,no,63000000.0,1109802321.0,17.615909857142857,great
The Treasure of the Sierra Madre,1948,Action,yes,3000000.0,5014000.0,1.6713333333333333,bad
Monty Python and the Holy Grail,1975,Fantasy,no,229575.0,1940906.0,8.454343896330176,great
The Great Escape,1963,History,yes,4000000.0,228178.0,0.0570445,bad
No Country for Old Men,2007,Mystery,yes,25000000.0,171627434.0,6.86509736,great
Spider-Man: No Way Home,2021,Fantasy,no,200000000.0,1921847111.0,9.609235555,great
Kill Bill: Vol. 1,2003,Action,yes,30000000.0,180906076.0,6.030202533333333,great
Rashomon,1950,Mystery,yes,250000.0,81379.0,0.325516,bad
The Thing,1982,Fantasy,yes,15000000.0,19632715.0,1.3088476666666666,bad
Finding Nemo,2003,Family,no,94000000.0,941637960.0,10.017425106382978,great
The Elephant Man,1980,History,no,5000000.0,26023860.0,5.204772,great
Chinatown,1974,Mystery,yes,6000000.0,29225935.0,4.870989166666667,expected
Raging Bull,1980,History,yes,18000000.0,23402427.0,1.3001348333333334,bad
V for Vendetta,2005,Fantasy,yes,54000000.0,134686457.0,2.494193648148148,expected
Gone with the Wind,1939,History,yes,3977000.0,402382193.0,101.17731782750818,great
"Lock, Stock and Two Smoking Barrels",1998,Comedy,yes,960000.0,3753929.0,3.9103427083333333,expected
Inside Out,2015,Family,no,175000000.0,858848019.0,4.907702965714286,expected
Dial M for Murder,1954,Mystery,no,1400000.0,31207.0,0.022290714285714285,bad
Howl's Moving Castle,2004,Family,no,24000000.0,237536126.0,9.897338583333333,great
"Three Billboards Outside Ebbing, Missouri",2017,Comedy,yes,15000000.0,162861289.0,10.857419266666666,great
The Bridge on the River Kwai,1957,History,no,3000000.0,27200000.0,9.066666666666666,great
Trainspotting,1996,Drama,yes,1500000.0,16767475.0,11.178316666666667,great
Prisoners,2013,Mystery,yes,46000000.0,122126687.0,2.6549279782608695,expected
Warrior,2011,Family,no,25000000.0,23308615.0,0.9323446,bad
Fargo,1996,Mystery,yes,7000000.0,60611975.0,8.65885357142857,great
Gran Torino,2008,Drama,yes,33000000.0,269958228.0,8.180552363636364,great
Million Dollar Baby,2004,Family,no,30000000.0,216763646.0,7.2254548666666665,great
Blade Runner,1982,Fantasy,yes,28000000.0,41722424.0,1.4900865714285714,bad
The Gold Rush,1925,Comedy,yes,923000.0,29328.0,0.03177464788732395,bad
Before Sunrise,1995,Family,yes,2500000.0,5987386.0,2.3949544,expected
12 Years a Slave,2013,History,yes,20000000.0,187733202.0,9.3866601,great
Harry Potter and the Deathly Hallows: Part 2,2011,Fantasy,no,125000000.0,1342359942.0,10.738879536,great
Ben-Hur,1959,Action,no,15000000.0,74437720.0,4.962514666666666,expected
The Grand Budapest Hotel,2014,Comedy,yes,25000000.0,173082189.0,6.92328756,great
The Deer Hunter,1978,History,yes,15000000.0,49074379.0,3.2716252666666668,expected
Barry Lyndon,1975,History,no,11000000.0,199632.0,0.018148363636363636,bad
Hacksaw Ridge,2016,History,yes,40000000.0,180563636.0,4.5140909,expected
Memories of Murder,2003,Mystery,yes,2800000.0,1166717.0,0.41668464285714285,bad
Mr. Smith Goes to Washington,1939,Comedy,yes,1900000.0,144738.0,0.07617789473684211,bad
Mad Max: Fury Road,2015,Fantasy,yes,150000000.0,415261382.0,2.7684092133333333,expected
The Seventh Seal,1957,Fantasy,yes,150000.0,311212.0,2.0747466666666665,expected
Mary and Max,2009,Family,yes,8240000.0,1740429.0,0.21121711165048543,bad
How to Train Your Dragon,2010,Family,no,165000000.0,494879471.0,2.9992695212121214,expected
Room,2015,Mystery,yes,13000000.0,35401758.0,2.723212153846154,expected
"Monsters, Inc.",2001,Family,no,115000000.0,579707738.0,5.040936852173913,great
Jaws,1975,Mystery,no,7000000.0,476512065.0,68.07315214285714,great
Dead Poets Society,1989,Comedy,no,16400000.0,235860116.0,14.381714390243902,great
The Big Lebowski,1998,Comedy,yes,15000000.0,46969409.0,3.131293933333333,expected
Hotel Rwanda,2004,History,no,17500000.0,33882243.0,1.9361281714285714,bad
Ford v Ferrari,2019,History,no,97600000.0,225508210.0,2.31053493852459,expected
Rocky,1976,Family,no,960000.0,117250402.0,122.13583541666667,great
Platoon,1986,History,yes,6000000.0,138545632.0,23.090938666666666,great
Ratatouille,2007,Family,no,150000000.0,623726085.0,4.1581739,expected
Spotlight,2015,History,yes,20000000.0,98690254.0,4.9345127,expected
The Terminator,1984,Fantasy,yes,6400000.0,78371200.0,12.2455,great
Logan,2017,Fantasy,yes,97000000.0,619179950.0,6.383298453608248,great
Stand by Me,1986,Action,yes,8000000.0,52287414.0,6.53592675,great
Rush,2013,History,yes,38000000.0,96983009.0,2.552184447368421,expected
Network,1976,Drama,yes,3800000.0,23690757.0,6.234409736842105,great
Into the Wild,2007,History,yes,15000000.0,56675895.0,3.778393,expected
The Wizard of Oz,1939,Fantasy,no,2777000.0,25637669.0,9.232145840835434,great
Groundhog Day,1993,Fantasy,no,14600000.0,71108591.0,4.870451438356165,expected
The Best Years of Our Lives,1946,History,yes,2100000.0,23661347.0,11.267308095238095,great
The Exorcist,1973,Mystery,yes,11000000.0,441306145.0,40.11874045454545,great
The Incredibles,2004,Family,no,92000000.0,631607053.0,6.865294054347826,great
The Battle of Algiers,1966,History,yes,800000.0,962002.0,1.2025025,bad
Pirates of the Caribbean: The Curse of the Black Pearl,2003,Fantasy,no,140000000.0,654264015.0,4.673314392857143,expected
Amores Perros,2000,Mystery,yes,2000000.0,20908467.0,10.4542335,great
Rebecca,1940,Mystery,yes,1288000.0,72275.0,0.05611413043478261,bad
Cool Hand Luke,1967,Action,yes,3200000.0,67.0,2.09375e-05,bad
The Sound of Music,1965,History,no,8200000.0,159428329.0,19.442479146341462,great
It Happened One Night,1934,Family,yes,325000.0,11477.0,0.035313846153846154,bad
Life of Brian,1979,Comedy,yes,4000000.0,20745728.0,5.186432,great
The Iron Giant,1999,Family,no,70000000.0,23335817.0,0.3333688142857143,bad
The Help,2011,Drama,no,25000000.0,216639112.0,8.66556448,great
Dersu Uzala,1975,History,no,4000000.0,14480.0,0.00362,bad
Gandhi,1982,History,no,22000000.0,52767889.0,2.3985404090909093,expected
Dances with Wolves,1990,Action,no,22000000.0,424208848.0,19.282220363636362,great
